step,reward,gneJ0_phase,gneJ0_total_queue,gneJ1_phase,gneJ1_total_queue,gneJ2_phase,gneJ2_total_queue,gneJ3_phase,gneJ3_total_queue
0,-20.1,0,15,1,8,0,12,1,5
1,-25.8,0,18,1,12,0,15,1,8
2,-30.2,0,22,1,15,0,18,1,10
3,-28.5,0,20,1,14,0,16,1,9
4,-35.0,0,25,1,18,0,22,1,12
5,-33.0,0,23,1,16,0,20,1,11
6,-31.0,0,21,1,14,0,18,1,10
7,-38.0,0,28,1,20,0,25,1,14
8,-40.0,0,30,1,22,0,27,1,15
9,-39.0,0,29,1,21,0,26,1,14
10,-42.0,0,33,1,25,0,30,1,17
11,-45.0,0,36,1,28,0,33,1,19
12,-44.0,0,35,1,27,0,32,1,18
13,-48.0,0,39,1,31,0,36,1,21
14,-51.0,0,42,1,34,0,39,1,23
15,-49.0,0,40,1,32,0,37,1,22
16,-54.0,0,45,1,37,0,42,1,25
17,-57.0,0,48,1,40,0,45,1,27
18,-56.0,0,47,1,39,0,44,1,26
19,-60.0,0,51,1,43,0,48,1,29
20,-63.0,0,54,1,46,0,51,1,31
21,-61.0,0,52,1,44,0,49,1,30
22,-66.0,0,57,1,49,0,54,1,33
23,-69.0,0,60,1,52,0,57,1,35
24,-68.0,0,59,1,51,0,56,1,34
25,-72.0,0,63,1,55,0,60,1,37
26,-75.0,0,66,1,58,0,63,1,39
27,-73.0,0,64,1,56,0,61,1,38
28,-78.0,0,69,1,61,0,66,1,41
29,-81.0,0,72,1,64,0,69,1,43
30,-80.0,0,71,1,63,0,68,1,42
31,-84.0,0,75,1,67,0,72,1,45
32,-87.0,0,78,1,70,0,75,1,47
33,-85.0,0,76,1,68,0,73,1,46
34,-90.0,0,81,1,73,0,78,1,49
35,-93.0,0,84,1,76,0,81,1,51
36,-92.0,0,83,1,75,0,80,1,50
37,-96.0,0,87,1,79,0,84,1,53
38,-99.0,0,90,1,82,0,87,1,55
39,-98.0,0,89,1,81,0,86,1,54
40,-102.0,0,93,1,85,0,90,1,57
41,-105.0,0,96,1,88,0,93,1,59
42,-104.0,0,95,1,87,0,92,1,58
43,-108.0,0,99,1,91,0,96,1,61
44,-111.0,0,102,1,94,0,99,1,63
45,-110.0,0,101,1,93,0,98,1,62
46,-114.0,0,105,1,97,0,102,1,65
47,-117.0,0,108,1,100,0,105,1,67
48,-116.0,0,107,1,99,0,104,1,66
49,-120.0,0,111,1,103,0,108,1,69
50,-123.0,0,114,1,106,0,111,1,71
51,-122.0,0,113,1,105,0,110,1,70
52,-126.0,0,117,1,109,0,114,1,73
53,-129.0,0,120,1,112,0,117,1,75
54,-128.0,0,119,1,111,0,116,1,74
55,-132.0,0,123,1,115,0,120,1,77
56,-135.0,0,126,1,118,0,123,1,79
57,-134.0,0,125,1,117,0,122,1,78
58,-138.0,0,129,1,121,0,126,1,81
59,-141.0,0,132,1,124,0,129,1,83
60,-140.0,0,131,1,123,0,128,1,82
61,-144.0,0,135,1,127,0,132,1,85
62,-147.0,0,138,1,130,0,135,1,87
63,-146.0,0,137,1,129,0,134,1,86
64,-150.0,0,141,1,133,0,138,1,89
65,-153.0,0,144,1,136,0,141,1,91
66,-152.0,0,143,1,135,0,140,1,90
67,-156.0,0,147,1,139,0,144,1,93
68,-159.0,0,150,1,142,0,147,1,95
69,-158.0,0,149,1,141,0,146,1,94
70,-162.0,0,153,1,145,0,150,1,97
71,-165.0,0,156,1,148,0,153,1,99
72,-164.0,0,155,1,147,0,152,1,98
73,-168.0,0,159,1,151,0,156,1,101
74,-171.0,0,162,1,154,0,159,1,103
75,-170.0,0,161,1,153,0,158,1,102
76,-174.0,0,165,1,157,0,162,1,105
77,-177.0,0,168,1,160,0,165,1,107
78,-176.0,0,167,1,159,0,164,1,106
79,-180.0,0,171,1,163,0,168,1,109
80,-183.0,0,174,1,166,0,171,1,111
81,-182.0,0,173,1,165,0,170,1,110
82,-186.0,0,177,1,169,0,174,1,113
83,-189.0,0,180,1,172,0,177,1,115
84,-188.0,0,179,1,171,0,176,1,114
85,-192.0,0,183,1,175,0,180,1,117
86,-195.0,0,186,1,178,0,183,1,119
87,-194.0,0,185,1,177,0,182,1,118
88,-198.0,0,189,1,181,0,186,1,121
89,-201.0,0,192,1,184,0,189,1,123
90,-200.0,0,191,1,183,0,188,1,122
91,-204.0,0,195,1,187,0,192,1,125
92,-207.0,0,198,1,190,0,195,1,127
93,-206.0,0,197,1,189,0,194,1,126
94,-210.0,0,201,1,193,0,198,1,129
95,-213.0,0,204,1,196,0,201,1,131
96,-212.0,0,203,1,195,0,200,1,130
97,-216.0,0,207,1,199,0,204,1,133
98,-219.0,0,210,1,202,0,207,1,135
99,-218.0,0,209,1,201,0,206,1,134
