step;system_total_stopped;system_total_waiting_time;system_mean_waiting_time;system_mean_speed;system_mean_queue_length
0;126;30.00;0.24;8.17;17.54
1;232;47.00;0.20;10.68;20.02
2;177;69.00;0.39;9.24;16.14
3;226;99.00;0.44;10.27;13.05
4;130;130.00;1.00;9.76;19.17
5;159;154.00;0.97;10.38;20.00
6;135;172.00;1.27;11.03;20.00
7;142;194.00;1.37;10.34;12.54
8;238;221.00;0.93;11.12;20.00
9;195;249.00;1.28;9.64;17.35
10;169;274.00;1.62;10.20;13.52
11;237;298.00;1.26;8.09;12.40
12;204;313.00;1.53;9.71;15.04
13;175;341.00;1.95;10.35;18.22
14;214;370.00;1.73;11.13;20.00
15;129;395.00;3.06;9.53;12.43
16;171;414.00;2.42;10.66;14.65
17;194;440.00;2.27;11.13;18.16
18;141;466.00;3.30;10.08;13.09
19;195;487.00;2.50;10.27;20.00
20;166;519.00;3.13;8.62;12.57
21;201;545.00;2.71;10.54;15.69
22;133;577.00;4.34;10.21;13.22
23;237;605.00;2.55;8.09;20.00
24;168;629.00;3.74;7.43;20.00
25;225;653.00;2.90;11.10;12.95
26;231;678.00;2.94;10.97;14.93
27;226;702.00;3.11;9.50;14.33
28;202;730.00;3.61;9.03;20.00
29;156;749.00;4.80;11.13;19.45
30;213;773.00;3.63;11.05;19.13
31;231;798.00;3.45;10.96;18.19
32;190;824.00;4.34;11.14;20.00
33;195;850.00;4.36;10.75;20.00
34;133;874.00;6.57;11.13;20.00
35;170;905.00;5.32;11.13;20.00
36;153;934.00;6.10;11.13;20.00
37;177;960.00;5.42;11.13;20.00
38;231;986.00;4.27;11.13;20.00
39;154;1013.00;6.58;11.13;20.00
40;189;1039.00;5.50;11.13;20.00
41;170;1066.00;6.27;11.13;20.00
42;153;1092.00;7.14;11.13;20.00
43;231;1118.00;4.84;11.13;20.00
44;154;1145.00;7.44;11.13;20.00
45;189;1171.00;6.20;11.13;20.00
46;170;1198.00;7.05;11.13;20.00
47;153;1224.00;8.00;11.13;20.00
48;231;1250.00;5.41;11.13;20.00
49;154;1277.00;8.29;11.13;20.00
50;189;1303.00;6.89;11.13;20.00
51;170;1330.00;7.82;11.13;20.00
52;153;1356.00;8.86;11.13;20.00
53;231;1382.00;5.98;11.13;20.00
54;154;1409.00;9.15;11.13;20.00
55;189;1435.00;7.59;11.13;20.00
56;170;1462.00;8.60;11.13;20.00
57;153;1488.00;9.73;11.13;20.00
58;231;1514.00;6.55;11.13;20.00
59;154;1541.00;10.01;11.13;20.00
60;189;1567.00;8.29;11.13;20.00
61;170;1594.00;9.38;11.13;20.00
62;153;1620.00;10.59;11.13;20.00
63;231;1646.00;7.13;11.13;20.00
64;154;1673.00;10.86;11.13;20.00
65;189;1699.00;8.99;11.13;20.00
66;170;1726.00;10.15;11.13;20.00
67;153;1752.00;11.45;11.13;20.00
68;231;1778.00;7.70;11.13;20.00
69;154;1805.00;11.72;11.13;20.00
70;189;1831.00;9.69;11.13;20.00
71;170;1858.00;10.93;11.13;20.00
72;153;1884.00;12.31;11.13;20.00
73;231;1910.00;8.27;11.13;20.00
74;154;1937.00;12.58;11.13;20.00
75;189;1963.00;10.39;11.13;20.00
76;170;1990.00;11.71;11.13;20.00
77;153;2016.00;13.18;11.13;20.00
78;231;2042.00;8.84;11.13;20.00
79;154;2069.00;13.44;11.13;20.00
80;189;2095.00;11.09;11.13;20.00
81;170;2122.00;12.48;11.13;20.00
82;153;2148.00;14.04;11.13;20.00
83;231;2174.00;9.41;11.13;20.00
84;154;2201.00;14.29;11.13;20.00
85;189;2227.00;11.78;11.13;20.00
86;170;2254.00;13.26;11.13;20.00
87;153;2280.00;14.90;11.13;20.00
88;231;2306.00;9.98;11.13;20.00
89;154;2333.00;15.15;11.13;20.00
90;189;2359.00;12.48;11.13;20.00
91;170;2386.00;14.04;11.13;20.00
92;153;2412.00;15.76;11.13;20.00
93;231;2438.00;10.55;11.13;20.00
94;154;2465.00;16.01;11.13;20.00
95;189;2491.00;13.18;11.13;20.00
96;170;2518.00;14.81;11.13;20.00
97;153;2544.00;16.63;11.13;20.00
98;231;2570.00;11.13;11.13;20.00
99;154;2597.00;16.86;11.13;20.00
