step;system_total_stopped;system_total_waiting_time;system_mean_waiting_time;system_mean_speed;system_mean_queue_length
0;105;22.00;0.21;8.82;16.43
1;194;35.00;0.18;11.53;19.11
2;148;52.00;0.35;10.09;15.03
3;189;78.00;0.41;11.12;11.94
4;109;104.00;0.95;10.61;18.06
5;133;124.00;0.93;11.23;19.98
6;113;138.00;1.22;11.88;19.34
7;119;156.00;1.31;11.19;11.43
8;199;179.00;0.90;11.97;19.02
9;163;203.00;1.25;10.49;16.24
10;141;224.00;1.59;11.05;12.41
11;198;244.00;1.23;8.94;11.29
12;170;255.00;1.50;10.56;13.93
13;146;279.00;1.91;11.20;17.11
14;179;304.00;1.70;11.98;19.00
15;108;325.00;3.01;10.38;11.32
16;143;340.00;2.38;11.51;13.54
17;162;362.00;2.23;11.98;17.05
18;118;384.00;3.25;10.93;11.98
19;163;401.00;2.46;11.12;19.88
20;139;429.00;3.09;9.47;11.46
21;168;451.00;2.68;11.39;14.58
22;111;479.00;4.32;11.06;12.11
23;198;503.00;2.54;8.94;19.98
24;140;523.00;3.74;8.28;19.94
25;188;543.00;2.89;11.95;11.84
26;193;564.00;2.92;11.82;13.82
27;189;584.00;3.09;10.35;13.22
28;169;608.00;3.60;9.88;19.16
29;130;623.00;4.79;11.98;18.34
30;178;643.00;3.61;11.90;18.02
31;193;664.00;3.44;11.81;17.08
32;159;686.00;4.31;11.99;19.86
33;163;708.00;4.34;11.60;19.92
34;111;728.00;6.56;11.98;19.99
35;142;755.00;5.32;11.98;19.91
36;128;778.00;6.08;11.98;19.93
37;148;800.00;5.41;11.98;19.97
38;193;822.00;4.26;11.98;19.95
39;129;844.00;6.54;11.98;19.96
40;158;866.00;5.48;11.98;19.99
41;142;888.00;6.25;11.98;19.98
42;128;910.00;7.11;11.98;19.99
43;193;932.00;4.83;11.98;19.99
44;129;954.00;7.40;11.98;19.99
45;158;976.00;6.18;11.98;19.99
46;142;998.00;7.03;11.98;19.99
47;128;1020.00;7.97;11.98;19.99
48;193;1042.00;5.40;11.98;19.99
49;129;1064.00;8.25;11.98;19.99
50;158;1086.00;6.87;11.98;19.99
51;142;1108.00;7.80;11.98;19.99
52;128;1130.00;8.83;11.98;19.99
53;193;1152.00;5.97;11.98;19.99
54;129;1174.00;9.10;11.98;19.99
55;158;1196.00;7.57;11.98;19.99
56;142;1218.00;8.58;11.98;19.99
57;128;1240.00;9.69;11.98;19.99
58;193;1262.00;6.54;11.98;19.99
59;129;1284.00;10.00;11.98;19.99
60;158;1306.00;8.27;11.98;19.99
61;142;1328.00;9.35;11.98;19.99
62;128;1350.00;10.55;11.98;19.99
63;193;1372.00;7.11;11.98;19.99
64;129;1394.00;10.81;11.98;19.99
65;158;1416.00;8.96;11.98;19.99
66;142;1438.00;10.13;11.98;19.99
67;128;1460.00;11.41;11.98;19.99
68;193;1482.00;7.68;11.98;19.99
69;129;1504.00;11.66;11.98;19.99
70;158;1526.00;9.66;11.98;19.99
71;142;1548.00;10.90;11.98;19.99
72;128;1570.00;12.27;11.98;19.99
73;193;1592.00;8.25;11.98;19.99
74;129;1614.00;12.51;11.98;19.99
75;158;1636.00;10.35;11.98;19.99
76;142;1658.00;11.68;11.98;19.99
77;128;1680.00;13.12;11.98;19.99
78;193;1702.00;8.82;11.98;19.99
79;129;1724.00;13.36;11.98;19.99
80;158;1746.00;11.05;11.98;19.99
81;142;1768.00;12.45;11.98;19.99
82;128;1790.00;13.98;11.98;19.99
83;193;1812.00;9.39;11.98;19.99
84;129;1834.00;14.22;11.98;19.99
85;158;1856.00;11.75;11.98;19.99
86;142;1878.00;13.23;11.98;19.99
87;128;1900.00;14.84;11.98;19.99
88;193;1922.00;9.96;11.98;19.99
89;129;1944.00;15.07;11.98;19.99
90;158;1966.00;12.44;11.98;19.99
91;142;1988.00;14.00;11.98;19.99
92;128;2010.00;15.70;11.98;19.99
93;193;2032.00;10.53;11.98;19.99
94;129;2054.00;15.92;11.98;19.99
95;158;2076.00;13.14;11.98;19.99
96;142;2098.00;14.77;11.98;19.99
97;128;2120.00;16.56;11.98;19.99
98;193;2142.00;11.09;11.98;19.99
99;129;2164.00;16.78;11.98;19.99
