step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.749043509551441,0,0.0,0.9555797629949773,0,0.0,0.9738750568719964,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9165739009299905,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9280319599962388,0,0.0,0.9804485684620002,0,0.0,0.9520700095823186,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.41159680810893,0,0.0,0.9293004334349322,0,0.0,0.9519411275937114,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9471670142698884,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9555191240687383,0,0.0,0.9225555828487904,0,0.0,0.8823393851529,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,3,6.0,0.13333333333333333,11.529089806566743,0,0.0,0.8062333281337006,0,0.0,0.9815446331616537,0,0.0,1.0,0,0.0,1.0,1,2.0,0.6991829802014036,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9679289831955357,0,0.0,0.9329237858097411,2,4.0,0.4023814497538546,0,0.0,0.9367832928193027,0,0.0,0.9639053561122536,0,0.0,0.9982421832653392,0,0.0,0.9261083823711103,0,0.0,1.0,3,6.0
20.0,11,41.0,0.7321428571428571,10.070147218401413,5,13.0,0.501509339061221,0,0.0,0.9732343655246802,0,0.0,1.0,0,0.0,1.0,2,9.0,0.031122933857447483,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9074170327836794,0,0.0,0.9729928798911198,4,19.0,0.40353212421085244,0,0.0,0.9544133353623613,0,0.0,0.8978374585312863,0,0.0,0.9477248609336949,0,0.0,0.9645882467274154,0,0.0,1.0,11,41.0
25.0,14,105.0,1.4583333333333333,10.015381311599826,6,39.0,0.3934500930739351,0,0.0,0.9320185511209564,0,0.0,0.9425465073867704,0,0.0,0.9607757007578375,4,27.0,0.47263005097997823,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9337827383338713,0,0.0,0.9688412338770143,4,39.0,0.4008521150043555,0,0.0,0.9793252315978396,0,0.0,0.9421189715066705,0,0.0,0.931055729005079,0,0.0,0.7090303839437798,0,0.0,0.9926540461969219,14,105.0
30.0,21,191.0,2.3012048192771086,9.202113635095479,8,76.0,0.34277351145764784,1,1.0,0.7377126357615991,0,0.0,0.959854364639872,0,0.0,0.9286585730395296,4,47.0,0.49539869889372945,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9336004320682505,0,0.0,0.9947914355093208,6,62.0,0.2263231444683174,0,0.0,0.9441789938786523,0,0.0,0.9008347736097985,0,0.0,0.9649723120358568,2,5.0,0.6657030769863758,0,0.0,0.9276136928264347,21,191.0
35.0,28,318.0,3.382978723404255,8.611592516229644,10,122.0,0.21903331043572216,3,13.0,0.6254414274012441,0,0.0,0.9696493822905489,0,0.0,0.9535424997837445,5,68.0,0.333023354878604,0,0.0,1.0,0,0.0,0.9934393408905893,0,0.0,0.9680213747205901,0,0.0,0.8914837157573466,0,0.0,0.9502764163637668,7,97.0,0.34968097027701367,0,0.0,0.9555976334497813,0,0.0,0.87243390299979,0,0.0,0.9467741256323126,3,18.0,0.6030823391824569,0,0.0,0.8988646211734691,28,318.0
40.0,36,476.0,4.25,8.376393606867179,10,172.0,0.3166874347883175,5,33.0,0.5798736358190307,0,0.0,0.9591415627769804,0,0.0,0.9612926172189585,9,102.0,0.22584500261708165,0,0.0,0.9186459903390973,0,0.0,0.964359185397011,0,0.0,0.9648419328359394,0,0.0,0.9334502686129221,0,0.0,0.9548636042015669,7,132.0,0.2853663437746773,0,0.0,0.9462989050220365,0,0.0,0.872120008731402,0,0.0,0.9962365643129463,5,37.0,0.43015756988675746,0,0.0,0.9267834618553938,36,476.0
45.0,42,526.0,4.046153846153846,7.792873083656903,5,159.0,0.4195893098659573,7,61.0,0.4653449669972347,0,0.0,0.8696625234975448,0,0.0,0.9371655835731418,11,149.0,0.23355476905301784,0,0.0,0.9248168993646807,0,0.0,0.9351265042231751,0,0.0,0.9535143780070279,0,0.0,0.9375491034056015,0,0.0,0.9522437750064483,10,181.0,0.1540664162914009,0,0.0,0.909802299490939,0,0.0,0.9084462517177488,0,0.0,0.9584719015365042,9,75.0,0.24693824569928519,0,0.0,0.9445580397526332,42,625.0
50.0,48,672.0,4.63448275862069,7.985670023847845,1,52.0,0.5797335546591422,8,97.0,0.4115820113742483,0,0.0,0.8691180668393009,0,0.0,0.9695960141346225,13,206.0,0.22088620024081285,0,0.0,0.9408127374210675,0,0.0,0.9704325536936326,0,0.0,0.9104067314314342,0,0.0,0.9527731952494811,0,0.0,0.9524032535661905,13,242.0,0.3013538449149581,0,0.0,0.9723944143171271,0,0.0,0.8752501763247013,0,0.0,0.9032617700341952,13,128.0,0.21761454713742456,0,0.0,0.9610279932790722,48,725.0
