sim_step,simulation_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_mean_queue_length,queue_length_0,queue_length_1,queue_length_10,queue_length_11,queue_length_12,queue_length_13,queue_length_14,queue_length_15,queue_length_2,queue_length_3,queue_length_4,queue_length_5,queue_length_6,queue_length_7,queue_length_8,queue_length_9
5.0,25.0,0,0.0,0.0,13.391279747523317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,50.0,0,0.0,0.0,13.257941245780478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.0,75.0,2,3.0,0.08823529411764706,10.221895441964886,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20.0,100.0,1,2.0,0.04,10.739653898414273,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.0,125.0,3,12.0,0.1875,11.535695007724767,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.0,150.0,9,48.0,0.5853658536585366,10.409616288775348,0,5,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
35.0,175.0,13,48.0,0.4897959183673469,8.811274596570197,0,4,1,0,0,0,1,0,0,0,3,1,0,2,1,0,0
40.0,200.0,15,66.0,0.5945945945945946,8.045616262111174,0,1,4,0,1,0,3,0,0,1,0,3,0,0,1,0,1
45.0,225.0,27,157.0,1.2868852459016393,7.301749753347355,0,2,7,2,1,0,5,1,0,3,0,5,0,1,0,0,0
50.0,250.0,18,70.0,0.5109489051094891,6.684659480315462,0,2,1,0,1,1,0,0,0,1,0,0,1,4,0,2,5
55.0,275.0,33,155.0,1.019736842105263,7.651030937286621,0,6,3,1,1,0,0,0,0,0,0,6,4,0,0,5,7
60.0,300.0,35,210.0,1.242603550295858,8.423777694493257,0,8,4,6,2,0,1,0,0,0,0,11,2,0,0,0,1
65.0,325.0,22,156.0,0.8524590163934426,7.998213204647342,0,4,1,1,1,1,0,0,0,1,0,12,0,1,0,0,0
70.0,350.0,38,169.0,0.8535353535353535,7.552220199131083,0,2,5,0,4,1,2,1,0,5,3,6,6,1,2,0,0
75.0,375.0,45,254.0,1.2037914691943128,7.461262331816954,0,4,11,0,5,3,6,1,0,8,4,1,2,0,0,0,0
80.0,400.0,51,338.0,1.5089285714285714,7.157616353467385,0,6,11,6,0,6,1,1,1,3,6,3,2,0,0,0,5
85.0,425.0,36,158.0,0.6869565217391305,6.578508954799058,0,5,5,2,2,2,0,0,6,0,3,2,6,0,0,0,3
90.0,450.0,51,231.0,0.9705882352941176,7.135685063935223,0,4,3,4,2,0,0,1,10,0,2,7,6,0,0,6,6
95.0,475.0,67,464.0,1.886178861788618,8.049473400125587,0,7,4,10,2,0,0,2,10,0,2,14,0,2,0,5,9
100.0,500.0,46,424.0,1.6627450980392158,7.664692448810927,0,7,0,11,2,0,1,1,5,2,2,10,1,1,0,0,3
105.0,525.0,43,270.0,1.0112359550561798,7.372875427378985,0,4,6,5,2,0,6,2,2,1,2,4,2,1,4,0,2
110.0,550.0,48,226.0,0.8129496402877698,7.729597376394568,0,4,11,0,1,2,3,2,5,1,1,6,2,1,3,0,6
